SQL>     select * from TASK_CODE order by task_id;

TASK_ID       |TASK_TYPE                                                                       |BIZ_ID|DISA|COMB|FLOWNAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180093       |法催程序─訴訟進行 －含委辦                                                     |018   |0   |0   |PRSUITING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180094       |法催程序─其他程序(重整破產清算)                                                |018   |0   |0   |PRSUITOTHER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0180095       |逾審小組成員維護                                                                |018   |0   |0   |PRTEAMMAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180096       |移案作業                                                                        |018   |0   |0   |PRTRANS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0180097       |轉銷呆帳                                                                        |018   |0   |0   |PRTRANSFER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180098       |逾催作業共用流程                                                                |018   |0   |0   |PRAPPFLOW                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180099       |移回申請                                                                        |018   |0   |0   |PRTRANSR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180101       |債權─承受擔保品管理                                                            |018   |0   |0   |PRGAMNG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0180102       |債權─承受擔保品申請展期                                                        |018   |0   |0   |PRGAMNGE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180103       |債權─承受擔保品標售報核                                                        |018   |0   |0   |PRGAMNGS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180104       |法催程序─提存物洽借 －含委辦                                                   |018   |0   |0   |PRSUITLOAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180105       |法催程序─提存物取回 －含委辦                                                   |018   |0   |0   |PRSUITRET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0180106       |提存物洽借 －登錄                                                               |018   |0   |0   |PRSUITLOANR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0180107       |其他作業─空白用印申請-登錄                                                     |018   |0   |0   |PROTHSIGNAPPR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0180108       |ㄧ般催理                                                                        |018   |0   |0   |PRNOMAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0180109       |委託代辦                                                                        |018   |0   |0   |PRRES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0180110       |委任律師登錄                                                                    |018   |0   |0   |PRDELELAWAPR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180111       |委任律師作業登錄                                                                |018   |0   |0   |PRDELELAWOPR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
0180112       |催收記錄補鍵                                                                    |018   |0   |0   |PRDEMAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0180113       |企消金─函催                                                                    |018   |0   |0   |PRDEBTSEND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0180114       |開戶─存款查詢(圈存抵銷)                                                        |018   |0   |0   |PRCURDEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0190089       |一般                                                                            |019   |0   |0   |ENFlow_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0200090       |一般                                                                            |020   |0   |0   |ENFlow_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0210091       |一般                                                                            |021   |0   |0   |ENFlow_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0220092       |一般                                                                            |022   |0   |0   |ENFlow_1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0230093       |撤案文件                                                                        |023   |0   |0   |ENAbortCase                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0260001       |逾催代碼維護                                                                    |026   |0   |0   |PRCodeHo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0290001       |臨時性報表                                                                      |029   |0   |0   |ENDRPT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0310001       |監控登錄解除                                                                    |031   |1   |0   |ENMonitor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0350097       |轄區管理維護作業                                                                |035   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0350098       |分行區域維護作業                                                                |035   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0350114       |代辦回覆作業                                                                    |035   |0   |0   |PRAGENCYREPLY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0360100       |人工起案                                                                        |036   |0   |0   |COFlow036                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0360101       |系統自動起案                                                                    |036   |0   |0   |COFlow036                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0370001       |總行報表報送                                                                    |037   |0   |0   |COFlow037                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0380099       |訪問客戶紀錄卡                                                                  |038   |0   |0   |ENIntview                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0420001       |聯貸原則請示                                                                    |042   |0   |0   |ENUnionLoan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
0460001       |客戶資料移出申請                                                                |046   |0   |0   |ENMoveCase                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0460001       |客戶資料移入移出申請                                                            |046   |0   |0   |ENMoveCase                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0470108       |整批查調財產                                                                    |047   |0   |0   |PRFlow_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0470110       |財產登錄                                                                        |047   |0   |0   |PRFlow_5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0470113       |代辦作業                                                                        |047   |0   |0   |PRAGENCY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0470116       |一般催理                                                                        |047   |0   |0   |PRNormalDM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0470118       |圈存抵銷回覆作業                                                                |047   |0   |0   |PRHOLDFUND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
0470120       |抵銷回覆作業                                                                    |047   |0   |0   |PROFFSET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
